r.px, i
828,610.78
829,612.038
830,614.231
831,616.432
832,619.956
833,624.409
834,629.283
835,635.221
836,642.378
837,652.224
838,665.449
839,683.546
840,711.198
841,754.482
842,818.949
843,914.506
844,1056.56
845,1266.14
846,1541.1
847,1827.53
848,2022.01
849,2056.68
850,1946.85
851,1751.99
852,1521.76
853,1288.04
854,1081.93
855,927.817
856,825.144
857,758.985
858,714.799
859,684.826
860,665.307
861,654.996
862,652.278
863,656.236
864,668.632
865,692.008
866,731.546
867,788.593
868,858.954
869,927.024
870,971.656
871,977.384
872,944.006
873,883.697
874,811.912
875,741.607
876,683.152
877,639.196
878,608.312
879,586.473
880,571.188
881,559.451
882,549.529
883,541.652
884,536.456
885,532.08
886,527.444
887,523.33
888,520.154
889,516.223
890,513.386
891,510.749
892,507.561
893,504.173
894,501.847
895,498.872
896,495.734
897,493.466
898,491.129
899,485.487
