r.px, i
758,553.75
759,547.838
760,542.356
761,538.362
762,534.458
763,529.804
764,525.104
765,520.924
766,516.568
767,511.74
768,507.771
769,504.648
770,501.912
771,498.573
772,495.75
773,493.701
774,490.18
775,485.807
776,482.453
777,480.701
778,479.843
779,479.504
780,477.785
781,474.726
782,472.608
783,469.593
784,465.541
785,460.751
786,456.578
787,454.346
788,452.797
789,449.565
790,445.066
791,441.385
792,438.789
793,434.898
794,431.768
795,429.745
796,426.059
797,423.345
798,423.064
799,422.863
800,421.932
801,419.827
802,417.48
803,416.831
804,417.454
805,418.566
806,418.765
807,418.22
808,417.776
809,417.016
810,415.023
811,411.707
812,408.127
813,403.953
814,400.793
815,398.542
816,395.832
817,392.935
818,391.454
819,389.981
820,388.481
821,388.98
822,390.85
823,393.416
824,396.903
825,401.091
826,406.155
827,412.32
828,417.325
829,420.981
830,423.101
831,423.184
832,420.11
833,415.027
834,410.374
835,405.246
836,399.371
837,393.542
838,387.041
839,381.084
840,375.799
841,370.951
842,366.607
843,361.605
844,357.24
845,354.995
846,353.157
847,353.451
848,354.62
849,355.481
850,356.158
851,356.692
852,357.672
853,357.958
854,356.849
855,355.048
856,352.598
857,349.268
858,344.997
859,341.448
860,339.08
861,336.871
862,334.788
863,332.74
864,332.054
865,333.123
866,336.287
867,339.886
868,344.065
869,350.003
870,358.024
871,367.855
872,377.871
873,388.299
874,396.727
875,401.699
876,403.747
877,402.835
878,400.166
879,395.851
880,390.14
881,381.15
882,372.131
883,364.003
884,355.978
885,347.891
886,338.862
887,328.943
888,320.01
889,311.945
890,305.696
891,301.441
892,298.003
893,295.496
894,293.911
895,292.35
896,290.615
897,288.552
898,287.186
899,283.178
